Linear envelope (µVolts.s): 7275.626969323859
Time(s),RMS(µVolts),Median_Frequency(Hz)
23.000000,387.214138,60.546875
23.125000,470.370650,64.453125
23.250000,410.327060,66.406250
23.375000,368.688334,76.171875
23.500000,346.651424,58.593750
23.625000,333.987912,66.406250
23.750000,275.970961,68.359375
23.875000,186.826890,70.312500
24.000000,191.616599,50.781250
24.125000,166.661823,70.312500
24.250000,175.117122,54.687500
24.375000,204.890159,56.640625
24.500000,185.323917,56.640625
24.625000,243.949783,60.546875
24.750000,293.740458,60.546875
24.875000,235.595249,68.359375
25.000000,213.485184,66.406250
25.125000,228.384078,62.500000
25.250000,181.921229,58.593750
25.375000,162.517045,58.593750
25.500000,161.219558,62.500000
25.625000,149.434848,60.546875
25.750000,152.212146,60.546875
25.875000,183.247959,56.640625
26.000000,253.895624,52.734375
26.125000,248.105645,68.359375
26.250000,226.943844,54.687500
26.375000,263.196464,50.781250
26.500000,264.415127,58.593750
26.625000,198.476312,74.218750
26.750000,181.502869,56.640625
26.875000,175.256575,56.640625
27.000000,105.930493,60.546875
27.125000,60.820224,48.828125
27.250000,8.894268,46.875000
27.375000,8.571429,29.296875
27.500000,3.856603,29.296875
27.625000,2.516906,72.265625
27.750000,2.601104,46.875000
27.875000,2.641236,46.875000
28.000000,2.545755,60.546875
28.125000,2.461310,62.500000
28.250000,2.574414,56.640625
28.375000,2.410337,60.546875
28.500000,2.592101,46.875000
28.625000,2.704374,35.156250
28.750000,2.591440,48.828125
28.875000,2.533884,39.062500
29.000000,2.488300,62.500000
29.125000,2.618421,39.062500
29.250000,2.950521,62.500000
29.375000,3.023852,23.437500
29.500000,2.549979,35.156250
29.625000,2.434153,58.593750
29.750000,2.619571,95.703125
29.875000,2.689464,35.156250
30.000000,2.521065,56.640625
30.125000,3.059818,37.109375
30.250000,3.120533,37.109375
30.375000,2.896347,35.156250
30.500000,2.769448,42.968750
30.625000,2.514732,52.734375
30.750000,2.551347,78.125000
30.875000,2.538938,60.546875
31.000000,2.766778,33.203125
31.125000,2.529432,27.343750
31.250000,2.451580,60.546875
31.375000,2.557084,33.203125
31.500000,2.435842,66.406250
31.625000,2.516482,50.781250
31.750000,2.375769,44.921875
31.875000,2.213425,58.593750
32.000000,2.407529,82.031250
32.125000,2.320330,83.984375
32.250000,2.209546,80.078125
32.375000,2.209638,72.265625
32.500000,2.629641,52.734375
32.625000,2.746992,41.015625
32.750000,2.559372,60.546875
32.875000,2.627850,64.453125
33.000000,2.732294,48.828125
33.125000,2.089402,25.390625
